Make,Transmission,Engine Type,Engine Capacity(CC),Mileage(kms),Year,Price,Model
Honda,Automatic,Petrol,1500.0,38000,2015,4000000,Vezel 
Suzuki,Automatic,Petrol,660.0,40000,2018,1775000,Every 
Honda,Automatic,Petrol,1800.0,271305,2007,1600000,Civic Reborn
Toyota,Automatic,Petrol,2700.0,70000,2017,7690000,Fortuner 
Toyota,Automatic,Petrol,1600.0,29965,2015,3050000,Corolla 
Toyota,Automatic,Petrol,1800.0,85000,2018,3575000,Corolla 
Honda,Automatic,Petrol,1300.0,55000,2016,2400000,City 
Honda,Manual,Petrol,1300.0,115000,2016,2100000,City 
Honda,Manual,Petrol,1500.0,90000,2015,2100000,City 
Honda,Manual,Petrol,1300.0,88000,2013,1900000,City 
Suzuki,Manual,Petrol,1000.0,81000,2016,1225000,Cultus 
Honda,Manual,Petrol,1300.0,90000,2017,2300000,City 
Honda,Automatic,Petrol,1800.0,80000,2014,2900000,Civic Rebirth
Toyota,Automatic,Petrol,1500.0,88000,2011,3200000,Allion 
Toyota,Automatic,Petrol,1800.0,160000,2007,2300000,Wish 
Honda,Automatic,Petrol,1800.0,65000,2019,3900000,Civic 
Honda,Manual,Petrol,1300.0,109000,2007,1500000,City 
Toyota,Automatic,Petrol,1800.0,84000,2010,2345000,Corolla 
Toyota,Manual,Petrol,1300.0,35000,2020,2650000,Corolla 
Suzuki,Manual,Petrol,1000.0,129000,2010,819999,Alto 
Toyota,Manual,Petrol,1300.0,285000,2009,1700000,Corolla 
Toyota,Manual,Petrol,1300.0,87000,2013,1880000,Corolla 
Suzuki,Manual,Petrol,1000.0,70000,2019,1575000,Wagon R
Honda,Automatic,Petrol,1500.0,48000,2017,3000000,BR-V 
Toyota,Automatic,Petrol,2700.0,21000,2018,25100000,Prado 
Toyota,Automatic,Petrol,2700.0,30000,2017,23000000,Prado 
Mercedes,Automatic,Petrol,2000.0,69000,2013,8000000,Benz SLK
Honda,Automatic,Petrol,1800.0,145000,2013,2440000,Civic Rebirth
Mercedes,Automatic,Petrol,1800.0,87000,2006,4100000,Benz E
Suzuki,Manual,Petrol,800.0,75000,2015,760000,Bolan 
Suzuki,Manual,Petrol,800.0,66000,2013,740000,Mehran 
Toyota,Manual,Petrol,1300.0,138000,2014,1975000,Corolla 
Honda,Manual,Petrol,1500.0,70000,2014,2100000,City 
Honda,Automatic,Petrol,1800.0,97000,2015,2750000,Civic Rebirth
Toyota,Manual,Petrol,1800.0,188200,2009,1950000,Corolla 
Toyota,Automatic,Petrol,1300.0,62000,2018,3050000,Corolla 
Suzuki,Manual,Petrol,1000.0,59000,2018,1680000,Wagon R
KIA,Automatic,Petrol,2000.0,36000,2020,5075000,Sportage 
Suzuki,Manual,Petrol,1000.0,100000,2008,880000,Cultus 
